SYMBOL,OPEN,HIGH,LOW,PREVCLOSE,LTP,CHNG,CHANGPercentage,VOLUME,VALUE,fiftyTwo_WH,fiftyTwo_WL,TODAY,Date_Time
TECHM,"1,034.80","1,037.75","1,011.00","1,029.95","1,019.20",-10.75,-1.04,"22,19,168","22,639.95","1,390.00",943.70,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-26.98-8.62,"Tuesday, April 18, 2023 2:04 PM"
APOLLOHOSP,"4,380.00","4,384.10","4,293.90","4,386.70","4,336.00",-50.7,-1.16,"3,31,256","14,335.87","4,903.65","3,361.55",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-7.540.92,"Tuesday, April 18, 2023 2:04 PM"
GRASIM,"1,729.95","1,735.65","1,698.55","1,723.65","1,703.25",-20.4,-1.18,"2,57,902","4,432.30","1,839.50","1,276.60",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-2.408.73,"Tuesday, April 18, 2023 2:04 PM"
BAJFINANCE,"5,975.00","5,994.00","5,870.25","5,961.45","5,882.80",-78.65,-1.32,"4,72,437","28,047.21","7,778.00","5,220.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-18.654.00,"Tuesday, April 18, 2023 2:04 PM"
HEROMOTOCO,"2,470.95","2,474.95","2,425.00","2,465.95","2,433.40",-32.55,-1.32,"2,52,617","6,185.10","2,938.60","2,242.40",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng8.424.70,"Tuesday, April 18, 2023 2:04 PM"
RELIANCE,"2,377.00","2,377.00","2,326.00","2,367.45","2,335.20",-32.25,-1.36,"37,74,165","88,402.27","2,856.15","2,180.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-7.226.49,"Tuesday, April 18, 2023 2:04 PM"
BAJAJ-AUTO,"4,254.25","4,266.10","4,175.05","4,254.35","4,190.00",-64.35,-1.51,"1,74,275","7,338.06","4,311.00","3,460.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng15.0711.53,"Tuesday, April 18, 2023 2:04 PM"
ADANIPORTS,668.00,671.40,651.05,664.70,653.70,-11,-1.65,"21,35,479","14,156.09",987.85,395.10,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-20.92-2.30,"Tuesday, April 18, 2023 2:04 PM"
TITAN,"2,603.05","2,607.65","2,560.70","2,605.60","2,561.00",-44.6,-1.71,"4,80,239","12,379.07","2,791.00","1,825.05",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng5.866.11,"Tuesday, April 18, 2023 2:04 PM"
ULTRACEMCO,"7,779.00","7,779.00","7,570.00","7,742.45","7,586.35",-156.1,-2.02,"3,31,819","25,535.93","7,824.00","5,157.05",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng15.046.21,"Tuesday, April 18, 2023 2:04 PM"
ADANIENT,"1,892.00","1,902.75","1,830.00","1,878.75","1,836.85",-41.9,-2.23,"19,58,503","36,593.65","4,190.00","1,017.45",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-14.580.12,"Tuesday, April 18, 2023 2:04 PM"
POWERGRID,236.90,237.50,230.25,236.65,230.25,-6.4,-2.7,"54,09,605","12,606.00",248.35,186.35,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng3.123.03,"Tuesday, April 18, 2023 2:04 PM"
